,V1,V2,V3,V4,V5
0,-2.85,150.21,328.4,2.0,290.28
1,-13.07,136.41,311.23,5.11,298.11
2,-17.81,126.87,312.86,5.4,286.62
3,-27.81,128.68,302.26,28.68,289.06
4,-20.51,124.6,293.69,21.65,277.59
5,-15.29,108.15,316.35,31.61,305.87
6,-9.35,113.27,320.85,44.71,314.21
7,-17.12,131.12,329.15,55.6,309.32
8,-32.34,101.99,326.04,35.19,313.97
9,-28.47,101.92,336.65,36.56,303.51
10,-6.72,111.93,348.22,33.64,305.53
11,-4.57,119.3,337.45,35.14,313.49
12,-17.41,101.92,340.47,30.57,320.79
13,-25.23,104.49,310.52,34.03,307.36
14,-32.28,100.63,306.79,24.01,307.9
15,-37.71,101.6,307.02,33.59,306.65
16,-37.93,106.26,314.82,19.24,279.03
17,-53.92,111.57,306.27,32.15,291.98
18,-54.93,97.52,304.86,12.33,295.71
19,-40.11,101.76,299.37,24.05,311.86
20,-9.72,107.43,302.93,30.41,312.19
21,-5.99,132.82,284.4,26.56,298.36
22,-32.28,113.38,280.8,6.4,311.96
23,-26.47,108.47,284.26,9.34,293.73
24,-17.59,110.53,305.54,5.01,288.12
25,3.16,107.24,298.28,-0.78,283.02
26,2.36,84.96,313.82,6.54,283.91
27,9.82,83.15,297.88,7.38,283.27
28,-10.44,73.0,291.74,8.91,287.34
29,-26.76,70.31,281.88,18.68,282.92
30,-22.77,70.5,300.01,13.75,270.06
31,-7.97,69.55,294.77,-15.16,279.54
32,-7.74,86.61,292.32,-30.79,275.43
33,-3.5,74.55,285.45,-19.92,274.7
34,-17.44,77.52,289.66,-11.43,267.78
35,-26.32,75.34,294.41,-12.08,258.78
36,-11.83,89.87,296.6,-26.88,274.25
37,9.44,77.21,299.14,-35.16,260.37
38,-2.18,66.97,302.01,-38.7,271.3
39,-6.33,57.17,301.21,-22.98,259.27
40,12.39,47.95,321.68,-6.76,267.03
41,32.67,64.11,309.72,7.86,276.18
42,42.48,50.6,308.03,0.61,277.92
43,51.87,44.72,296.69,-21.47,267.09
44,38.52,41.06,303.0,-26.64,259.51
45,25.2,38.38,291.1,-18.06,269.09
46,43.49,42.54,311.82,-20.42,261.71
47,50.16,53.3,297.33,-36.12,259.89
48,49.82,60.82,290.95,-46.05,258.94
49,44.61,48.71,285.38,-28.44,257.93
50,53.86,65.84,287.53,-19.49,253.98
