,0
0,-2.85
1,-13.07
2,-17.81
3,-27.81
4,-20.51
5,-15.29
6,-9.35
7,-17.12
8,-32.34
9,-28.47
10,-6.72
11,-4.57
12,-17.41
13,-25.23
14,-32.28
15,-37.71
16,-37.93
17,-53.92
18,-54.93
19,-40.11
20,-9.72
21,-5.99
22,-32.28
23,-26.47
24,-17.59
25,3.16
26,2.36
27,9.82
28,-10.44
29,-26.76
30,-22.77
31,-7.97
32,-7.74
33,-3.5
34,-17.44
35,-26.32
36,-11.83
37,9.44
38,-2.18
39,-6.33
40,12.39
41,32.67
42,42.48
43,51.87
44,38.52
45,25.2
46,43.49
47,50.16
48,49.82
49,44.61
50,53.86
51,68.42
52,73.11
53,67.22
54,82.33
55,98.12
56,104.12
57,99.45
58,99.36
59,93.33
60,103.82
61,95.22
62,104.3
63,90.08
64,92.97
65,93.74
66,98.05
67,85.47
68,90.3
69,96.09
70,92.23
71,88.64
72,100.74
73,94.81
74,111.32
75,104.42
76,104.12
77,88.82
78,110.04
79,111.48
80,110.14
81,102.01
82,87.49
83,82.13
84,77.4
85,79.72
86,64.77
87,72.04
88,101.91
89,68.12
90,68.35
91,61.16
92,77.77
93,70.0
94,80.3
95,69.91
96,74.1
97,75.16
98,77.22
99,70.64
100,68.48
101,53.39
102,56.51
103,51.11
104,60.75
105,39.97
106,59.55
107,49.77
108,66.91
109,38.14
110,35.02
111,33.53
112,25.84
113,1.33
114,-8.83
115,-6.72
116,-1.98
117,-19.47
118,-23.13
119,-51.31
120,-29.62
121,-44.82
122,-46.16
123,-55.74
124,-59.94
125,-74.28
126,-80.48
127,-87.59
128,-93.86
129,-87.78
130,-87.03
131,-85.32
132,-95.08
133,-122.57
134,-108.58
135,-117.99
136,-109.54
137,-118.99
138,-122.95
139,-136.41
140,-131.37
141,-137.05
142,-144.81
143,-130.42
144,-136.22
145,-123.47
146,-145.72
147,-137.73
148,-124.03
149,-114.34
150,-119.44
151,-150.35
152,-157.24
153,-152.82
154,-131.74
155,-137.06
156,-118.22
157,-107.86
158,-109.71
159,-111.18
160,-100.61
161,-87.84
162,-67.39
163,-64.04
164,-67.02
165,-81.55
166,-86.5
167,-89.81
168,-79.17
169,-97.22
170,-77.81
171,-68.77
172,-54.78
173,-82.35
174,-80.08
175,-83.45
176,-87.66
177,-98.75
178,-111.38
179,-120.75
180,-122.72
181,-125.84
182,-149.51
183,-157.64
184,-124.83
185,-111.85
186,-110.86
187,-137.14
188,-142.96
189,-153.51
190,-140.58
191,-148.91
192,-149.84
193,-155.28
194,-152.5
195,-141.2
196,-146.06
197,-169.59
198,-159.37
199,-151.54
200,-135.98
201,-146.48
202,-155.35
203,-163.8
204,-154.71
205,-156.42
206,-168.39
207,-186.31
208,-186.78
209,-172.24
210,-149.42
211,-168.75
212,-174.85
213,-158.26
214,-129.84
215,-126.14
216,-134.48
217,-154.79
218,-157.18
219,-140.28
220,-133.21
221,-140.53
222,-146.39
223,-128.3
224,-112.41
225,-113.06
226,-118.16
227,-103.73
228,-80.08
229,-70.42
230,-73.87
231,-96.75
232,-114.89
233,-98.02
234,-92.38
235,-82.67
236,-107.22
237,-94.38
238,-89.46
239,-68.28
240,-80.96
241,-69.03
242,-64.69
243,-63.6
244,-72.77
245,-73.26
246,-82.06
247,-92.28
248,-99.87
249,-92.93
250,-100.6
251,-95.05
252,-103.45
253,-96.86
254,-108.39
255,-87.69
256,-77.42
257,-72.6
258,-95.92
259,-103.95
260,-110.2
261,-117.87
262,-115.65
263,-113.07
264,-125.8
265,-115.26
266,-112.93
267,-109.39
268,-124.87
269,-100.46
270,-99.06
271,-94.66
272,-99.7
273,-107.59
274,-120.87
275,-126.39
276,-131.71
277,-132.34
278,-127.0
279,-107.72
280,-119.7
281,-132.21
282,-145.88
283,-129.85
284,-154.55
285,-144.7
286,-136.11
287,-126.43
288,-145.66
289,-151.68
290,-163.45
291,-167.56
292,-160.7
293,-150.32
294,-149.41
295,-145.68
296,-145.16
297,-129.99
298,-144.15
299,-141.39
300,-145.26
301,-150.72
302,-164.38
303,-172.33
304,-191.55
305,-201.55
306,-192.44
307,-189.26
308,-189.53
309,-190.28
310,-195.55
311,-196.05
312,-191.86
313,-188.52
314,-205.5
315,-205.24
316,-203.45
317,-196.28
318,-207.15
319,-219.15
320,-222.09
321,-217.48
322,-208.08
323,-212.91
324,-205.31
325,-196.46
326,-192.4
327,-184.71
328,-176.43
329,-171.99
330,-186.35
331,-206.47
332,-206.62
333,-189.8
334,-195.06
335,-200.11
336,-199.24
337,-192.49
338,-184.47
339,-180.72
340,-190.74
341,-169.55
342,-158.73
343,-166.96
344,-174.86
345,-181.45
346,-192.83
347,-195.55
348,-195.07
349,-182.28
350,-199.82
351,-191.45
352,-182.01
353,-175.26
354,-204.15
355,-186.71
356,-176.64
357,-172.58
358,-188.06
359,-193.05
360,-212.73
361,-218.1
362,-216.08
363,-206.65
364,-225.41
365,-214.21
366,-206.55
367,-205.7
368,-233.71
369,-212.17
370,-206.94
371,-200.49
372,-205.32
373,-207.3
374,-219.94
375,-218.14
376,-209.55
377,-194.3
378,-226.74
379,-215.06
380,-205.72
381,-188.26
382,-219.9
383,-203.28
384,-199.89
385,-185.23
386,-210.28
387,-215.6
388,-238.54
389,-243.23
390,-244.02
391,-253.95
392,-242.06
393,-218.72
394,-215.9
395,-241.74
396,-269.32
397,-244.23
398,-247.17
399,-242.6
400,-253.29
401,-241.67
402,-245.26
403,-241.64
404,-226.07
405,-221.62
406,-217.1
407,-201.97
408,-217.15
409,-209.66
410,-218.78
411,-208.42
412,-219.81
413,-205.63
414,-214.3
415,-203.6
416,-229.09
417,-227.97
418,-229.5
419,-232.45
420,-244.13
421,-235.47
422,-248.91
423,-234.73
424,-249.28
425,-242.04
426,-248.42
427,-233.48
428,-241.53
429,-248.85
430,-264.13
431,-252.99
432,-259.02
433,-265.44
434,-277.9
435,-269.33
436,-276.95
437,-271.01
438,-286.26
439,-266.34
440,-288.91
441,-285.04
442,-293.63
443,-278.03
444,-298.98
445,-307.55
446,-319.44
447,-306.8
448,-319.81
449,-338.48
450,-341.83
451,-317.63
452,-322.68
453,-323.82
454,-348.47
455,-339.92
456,-336.56
457,-331.81
458,-339.97
459,-337.03
460,-342.88
461,-354.74
462,-363.45
463,-364.34
464,-366.41
465,-360.43
466,-367.85
467,-376.0
468,-396.23
469,-385.2
470,-392.73
471,-378.51
472,-394.85
473,-401.59
474,-405.63
475,-391.49
476,-377.6
477,-378.85
478,-394.71
479,-368.76
480,-372.99
481,-359.88
482,-402.6
483,-404.52
484,-399.11
485,-373.64
486,-383.18
487,-393.46
488,-401.49
489,-389.67
490,-375.31
491,-366.34
492,-378.83
493,-350.05
494,-341.25
495,-343.52
496,-364.16
497,-343.59
498,-342.59
499,-328.3
500,-345.26
501,-322.79
502,-319.9
503,-312.44
504,-312.45
505,-287.9
506,-305.58
507,-305.56
508,-310.85
509,-265.8
510,-268.79
511,-265.73
512,-253.87
513,-239.84
514,-257.44
515,-270.86
516,-264.25
517,-220.13
518,-210.21
519,-209.88
520,-231.59
521,-225.77
522,-224.69
523,-213.48
524,-203.61
525,-192.87
526,-190.32
527,-174.44
528,-175.56
529,-181.64
530,-191.21
531,-180.85
532,-179.95
533,-176.17
534,-201.99
535,-203.86
536,-205.47
537,-183.17
538,-190.44
539,-185.95
540,-186.63
541,-167.3
542,-166.99
543,-166.24
544,-184.79
545,-187.16
546,-176.18
547,-155.97
548,-168.8
549,-159.89
550,-163.86
551,-155.82
552,-163.66
553,-147.37
554,-147.61
555,-146.0
556,-142.95
557,-134.67
558,-141.75
559,-130.93
560,-117.56
561,-104.59
562,-123.26
563,-123.26
564,-129.9
565,-109.05
566,-139.66
567,-118.84
568,-121.67
569,-119.48
570,-112.77
571,-125.53
572,-121.43
573,-96.88
574,-93.7
575,-85.59
576,-83.68
577,-51.45
578,-61.23
579,-50.26
580,-69.53
581,-58.59
582,-68.15
583,-54.87
584,-59.99
585,-53.33
586,-79.56
587,-79.94
588,-88.29
589,-79.43
590,-110.9
591,-105.0
592,-94.48
593,-82.01
594,-100.37
595,-105.44
596,-108.82
597,-89.64
598,-105.79
599,-109.11
600,-126.88
601,-120.94
602,-125.55
603,-110.05
604,-116.71
605,-110.34
606,-96.73
607,-103.87
608,-116.04
609,-97.4
610,-97.76
611,-80.04
612,-119.12
613,-126.59
614,-127.51
615,-105.38
616,-136.97
617,-138.04
618,-151.2
619,-142.97
620,-150.4
621,-168.14
622,-183.51
623,-163.2
624,-152.36
625,-168.11
626,-176.27
627,-158.11
628,-149.24
629,-137.79
630,-150.2
631,-153.98
632,-155.81
633,-147.77
634,-139.55
635,-162.51
636,-169.93
637,-166.68
638,-165.98
639,-185.43
640,-165.51
641,-147.34
642,-138.05
643,-165.66
644,-168.29
645,-178.94
646,-175.58
647,-176.72
648,-164.48
649,-187.05
650,-192.46
651,-191.29
652,-191.17
653,-199.6
654,-189.29
655,-183.86
656,-168.62
657,-177.95
658,-174.24
659,-180.03
660,-151.7
661,-143.62
662,-125.58
663,-164.96
664,-175.33
665,-174.69
666,-155.07
667,-160.09
668,-152.82
669,-170.18
670,-155.0
671,-153.46
672,-147.38
673,-149.05
674,-124.81
675,-124.72
676,-122.12
677,-125.9
678,-134.62
679,-137.28
680,-129.83
681,-137.71
682,-128.98
683,-151.12
684,-138.81
685,-144.94
686,-119.24
687,-136.38
688,-116.42
689,-125.9
690,-115.09
691,-129.28
692,-131.39
693,-149.97
694,-152.83
695,-150.59
696,-156.26
697,-162.05
698,-161.86
699,-164.16
700,-158.52
701,-179.14
702,-173.35
703,-188.01
704,-177.8
705,-193.69
706,-186.48
707,-208.19
708,-222.41
709,-233.12
710,-227.26
711,-230.05
712,-232.55
713,-228.1
714,-224.5
715,-254.45
716,-251.4
717,-258.97
718,-228.82
719,-243.64
720,-233.78
721,-238.76
722,-230.25
723,-231.89
724,-225.62
725,-250.19
726,-253.52
727,-250.7
728,-234.17
729,-267.88
730,-256.44
731,-255.85
732,-236.95
733,-256.45
734,-271.86
735,-270.8
736,-246.78
737,-253.45
738,-258.44
739,-271.15
740,-264.01
741,-270.84
742,-263.66
743,-280.82
744,-270.43
745,-272.47
746,-261.21
747,-279.95
748,-272.67
749,-276.76
750,-273.11
751,-287.47
752,-288.46
753,-284.21
754,-291.83
755,-301.64
756,-291.49
757,-297.97
758,-282.47
759,-295.43
760,-298.7
761,-308.98
762,-299.51
763,-299.71
764,-310.49
765,-320.42
766,-319.49
767,-312.79
768,-316.28
769,-307.74
770,-308.07
771,-304.91
772,-286.56
773,-303.41
774,-301.35
775,-300.75
776,-303.13
777,-326.04
778,-322.34
779,-318.8
780,-322.3
781,-331.72
782,-329.59
783,-348.46
784,-350.98
785,-342.21
786,-344.05
787,-329.45
788,-315.52
789,-305.68
790,-315.35
791,-314.85
792,-303.21
793,-286.49
794,-280.58
795,-297.87
796,-313.83
797,-323.6
798,-312.23
799,-315.18
800,-314.83
801,-314.83
802,-299.24
803,-283.45
804,-269.65
805,-300.56
806,-293.59
807,-277.5
808,-261.81
809,-281.95
810,-279.88
811,-292.7
812,-291.81
813,-305.93
814,-301.67
815,-300.27
816,-288.24
817,-281.72
818,-286.5
819,-299.17
820,-279.68
821,-247.76
822,-232.41
823,-244.67
824,-254.28
825,-263.77
826,-253.14
827,-249.7
828,-225.86
829,-229.25
830,-227.03
831,-229.33
832,-226.25
833,-244.07
834,-233.35
835,-228.77
836,-209.67
837,-202.8
838,-225.89
839,-241.9
840,-235.96
841,-234.19
842,-238.0
843,-227.66
844,-211.73
845,-221.07
846,-217.25
847,-215.94
848,-211.47
849,-236.53
850,-231.99
851,-227.86
852,-231.16
853,-234.07
854,-237.59
855,-225.9
856,-222.13
857,-208.89
858,-217.09
859,-208.99
860,-199.21
861,-217.33
862,-233.1
863,-238.6
864,-246.53
865,-278.83
866,-267.35
867,-249.94
868,-240.42
869,-257.86
870,-269.06
871,-277.18
872,-262.52
873,-257.61
874,-251.31
875,-255.53
876,-274.55
877,-277.56
878,-273.13
879,-288.09
880,-291.53
881,-272.8
882,-250.29
883,-253.93
884,-271.03
885,-275.32
886,-266.74
887,-271.87
888,-269.68
889,-261.61
890,-261.3
891,-253.41
892,-248.26
893,-233.46
894,-235.78
895,-212.8
896,-185.83
897,-172.59
898,-180.71
899,-189.33
900,-212.13
901,-211.97
902,-209.34
903,-211.01
904,-211.8
905,-194.27
906,-201.0
907,-214.61
908,-226.22
909,-202.73
910,-171.37
911,-154.88
912,-179.15
913,-206.61
914,-216.34
915,-191.87
916,-179.51
917,-174.98
918,-196.26
919,-198.44
920,-202.09
921,-176.19
922,-166.65
923,-143.84
924,-148.67
925,-139.87
926,-145.45
927,-146.29
928,-143.46
929,-132.12
930,-112.66
931,-92.03
932,-83.85
933,-100.37
934,-101.8
935,-80.26
936,-66.29
937,-55.74
938,-40.62
939,-33.02
940,-28.91
941,-14.41
942,11.08
943,13.77
944,19.28
945,10.18
946,12.61
947,4.33
948,15.52
949,17.54
950,24.72
951,21.95
952,15.5
953,15.86
954,17.56
955,33.21
956,35.63
957,42.67
958,63.32
959,54.61
960,56.56
961,41.42
962,35.9
963,34.15
964,54.88
965,58.04
966,57.7
967,49.69
968,46.72
969,55.37
970,68.97
971,72.11
972,76.11
973,82.93
974,85.34
975,73.81
976,78.18
977,83.72
978,101.7
979,109.4
980,150.21
981,136.41
982,126.87
983,128.68
984,124.6
985,108.15
986,113.27
987,131.12
988,101.99
989,101.92
990,111.93
991,119.3
992,101.92
993,104.49
994,100.63
995,101.6
996,106.26
997,111.57
998,97.52
999,101.76
1000,107.43
1001,132.82
1002,113.38
1003,108.47
1004,110.53
1005,107.24
1006,84.96
1007,83.15
1008,73.0
1009,70.31
1010,70.5
1011,69.55
1012,86.61
1013,74.55
1014,77.52
1015,75.34
1016,89.87
1017,77.21
1018,66.97
1019,57.17
1020,47.95
1021,64.11
1022,50.6
1023,44.72
1024,41.06
1025,38.38
1026,42.54
1027,53.3
1028,60.82
1029,48.71
1030,65.84
1031,80.56
1032,87.01
1033,77.98
1034,68.87
1035,57.04
1036,52.87
1037,64.41
1038,61.92
1039,61.51
1040,48.91
1041,52.25
1042,48.9
1043,65.24
1044,76.04
1045,92.12
1046,79.05
1047,79.64
1048,80.86
1049,93.56
1050,79.31
1051,84.88
1052,83.93
1053,86.04
1054,75.22
1055,76.61
1056,64.4
1057,73.0
1058,77.93
1059,64.89
1060,70.17
1061,92.02
1062,100.19
1063,91.49
1064,82.88
1065,85.51
1066,87.01
1067,84.03
1068,68.04
1069,66.83
1070,69.56
1071,73.48
1072,74.69
1073,72.29
1074,72.37
1075,86.12
1076,89.81
1077,98.59
1078,91.34
1079,77.05
1080,63.9
1081,60.69
1082,57.37
1083,49.83
1084,35.46
1085,31.21
1086,36.46
1087,52.58
1088,35.34
1089,41.77
1090,60.76
1091,77.24
1092,57.1
1093,58.29
1094,44.2
1095,47.11
1096,47.59
1097,59.78
1098,55.43
1099,51.13
1100,50.46
1101,53.34
1102,52.52
1103,63.45
1104,93.33
1105,100.38
1106,99.36
1107,93.8
1108,83.43
1109,93.1
1110,90.51
1111,104.81
1112,101.36
1113,104.63
1114,107.43
1115,95.28
1116,82.94
1117,97.58
1118,116.43
1119,113.71
1120,111.13
1121,111.96
1122,104.88
1123,107.59
1124,96.05
1125,90.54
1126,79.69
1127,89.66
1128,90.88
1129,88.77
1130,72.95
1131,81.14
1132,80.45
1133,80.6
1134,78.98
1135,92.61
1136,89.32
1137,99.19
1138,95.64
1139,102.24
1140,86.95
1141,93.86
1142,81.96
1143,92.52
1144,74.94
1145,83.49
1146,77.99
1147,86.54
1148,78.58
1149,78.1
1150,67.46
1151,88.92
1152,89.33
1153,91.23
1154,69.77
1155,83.92
1156,81.68
1157,94.64
1158,68.67
1159,74.92
1160,69.79
1161,69.85
1162,48.45
1163,44.82
1164,34.99
1165,44.23
1166,25.43
1167,18.79
1168,14.93
1169,36.56
1170,38.1
1171,22.8
1172,1.14
1173,21.79
1174,24.49
1175,30.35
1176,14.68
1177,24.92
1178,23.74
1179,24.0
1180,29.62
1181,12.46
1182,-2.88
1183,11.45
1184,-3.9
1185,-5.59
1186,-25.17
1187,-28.8
1188,-35.3
1189,-20.16
1190,-34.32
1191,-28.01
1192,-40.14
1193,-29.09
1194,-22.96
1195,-4.73
1196,-24.49
1197,-29.95
1198,-40.91
1199,-29.39
1200,-32.33
1201,-47.01
1202,-55.0
1203,-34.46
1204,-27.21
1205,-22.92
1206,-46.99
1207,-43.13
1208,-24.49
1209,-16.8
1210,-9.79
1211,-28.17
1212,-32.47
1213,-16.98
1214,-15.65
1215,-18.85
1216,-27.98
1217,-0.82
1218,1.03
1219,-2.32
1220,-13.22
1221,-2.46
1222,4.77
1223,19.29
1224,1.52
1225,6.7
1226,8.34
1227,5.86
1228,-3.61
1229,-12.12
1230,-17.73
1231,-7.03
1232,-23.85
1233,-15.67
1234,-37.34
1235,-25.27
1236,-36.94
1237,-16.18
1238,-38.0
1239,-27.71
1240,-36.14
1241,-45.78
1242,-61.24
1243,-63.48
1244,-70.38
1245,-74.46
1246,-81.83
1247,-67.52
1248,-94.91
1249,-79.67
1250,-91.81
1251,-74.67
1252,-109.33
1253,-101.06
1254,-106.1
1255,-117.63
1256,-137.96
1257,-145.59
1258,-149.88
1259,-148.32
1260,-170.56
1261,-172.55
1262,-189.16
1263,-162.55
1264,-177.47
1265,-180.94
1266,-185.92
1267,-189.63
1268,-189.19
1269,-203.19
1270,-207.51
1271,-217.28
1272,-214.79
1273,-200.84
1274,-209.65
1275,-219.52
1276,-230.92
1277,-218.9
1278,-232.7
1279,-205.41
1280,-203.44
1281,-196.35
1282,-195.69
1283,-212.36
1284,-216.83
1285,-224.8
1286,-226.08
1287,-216.72
1288,-221.52
1289,-216.89
1290,-243.99
1291,-231.08
1292,-238.46
1293,-216.34
1294,-219.35
1295,-214.92
1296,-211.49
1297,-221.2
1298,-226.39
1299,-246.9
1300,-235.14
1301,-219.25
1302,-226.88
1303,-234.02
1304,-268.3
1305,-261.36
1306,-276.1
1307,-274.51
1308,-286.49
1309,-264.4
1310,-249.22
1311,-250.56
1312,-269.18
1313,-267.6
1314,-265.1
1315,-270.27
1316,-272.24
1317,-284.46
1318,-295.62
1319,-291.33
1320,-312.97
1321,-311.81
1322,-318.19
1323,-296.05
1324,-283.7
1325,-286.68
1326,-305.42
1327,-318.43
1328,-317.96
1329,-320.31
1330,-318.89
1331,-320.74
1332,-339.86
1333,-346.04
1334,-355.46
1335,-332.34
1336,-331.06
1337,-309.91
1338,-290.25
1339,-280.77
1340,-291.65
1341,-276.74
1342,-272.74
1343,-260.31
1344,-265.29
1345,-282.35
1346,-289.89
1347,-286.12
1348,-296.04
1349,-307.93
1350,-308.81
1351,-280.45
1352,-263.73
1353,-277.59
1354,-290.79
1355,-282.04
1356,-266.66
1357,-267.0
1358,-270.32
1359,-273.86
1360,-276.47
1361,-277.75
1362,-275.59
1363,-272.16
1364,-294.96
1365,-283.88
1366,-277.58
1367,-267.64
1368,-274.22
1369,-268.33
1370,-266.84
1371,-267.1
1372,-253.98
1373,-256.46
1374,-266.17
1375,-270.04
1376,-282.18
1377,-281.7
1378,-283.31
1379,-285.85
1380,-299.36
1381,-268.4
1382,-255.29
1383,-254.66
1384,-278.67
1385,-279.87
1386,-272.0
1387,-256.06
1388,-262.31
1389,-253.11
1390,-263.71
1391,-269.86
1392,-270.31
1393,-256.87
1394,-258.21
1395,-224.63
1396,-191.52
1397,-170.26
1398,-194.69
1399,-194.2
1400,-191.48
1401,-175.82
1402,-173.87
1403,-168.29
1404,-163.13
1405,-163.99
1406,-162.62
1407,-157.27
1408,-156.28
1409,-155.12
1410,-140.34
1411,-123.14
1412,-114.6
1413,-103.53
1414,-94.85
1415,-78.26
1416,-75.43
1417,-68.69
1418,-92.27
1419,-98.8
1420,-77.5
1421,-48.2
1422,-50.07
1423,-67.1
1424,-76.55
1425,-67.69
1426,-45.88
1427,-23.98
1428,-22.25
1429,-32.79
1430,-32.82
1431,-20.71
1432,6.5
1433,15.7
1434,4.73
1435,11.9
1436,25.67
1437,36.73
1438,40.93
1439,34.49
1440,39.53
1441,55.33
1442,68.37
1443,49.79
1444,58.9
1445,87.53
1446,115.73
1447,107.6
1448,101.34
1449,79.57
1450,87.66
1451,88.63
1452,97.61
1453,107.74
1454,112.58
1455,106.62
1456,96.79
1457,97.75
1458,112.73
1459,111.08
1460,124.4
1461,117.08
1462,129.54
1463,121.58
1464,151.72
1465,146.44
1466,153.05
1467,144.79
1468,135.78
1469,126.76
1470,118.93
1471,120.0
1472,104.99
1473,116.7
1474,126.77
1475,114.16
1476,95.2
1477,89.62
1478,98.87
1479,100.18
1480,86.9
1481,84.67
1482,83.33
1483,78.02
1484,71.75
1485,85.59
1486,64.09
1487,76.22
1488,88.56
1489,107.24
1490,87.95
1491,87.17
1492,86.63
1493,93.04
1494,100.62
1495,106.54
1496,100.81
1497,104.61
1498,105.26
